0.01	-nan
0.02	-1
0.03	-1
0.04	-1
0.05	-1
0.06	-1
0.07	-1
0.08	-1
0.09	44.426
0.1	53.859
0.11	38.385
0.12	-1
0.13	-1
0.14	-1
0.15	-1
0.16	-1
0.17	-1
0.18	261.76
0.19	-1
0.2	113.73
0.21	60.638
0.22	-1
0.23	-1
0.24	-1
0.25	-1
0.26	7.4381
0.27	153.32
0.28	21.611
0.29	1.8665
0.3	2.5102
0.31	5.6374
0.32	1.1438
0.33	-1
0.34	-1
0.35	28.157
0.36	47.58
0.37	23.43
0.38	-1
0.39	-0.10323
0.4	16.354
0.41	14.466
0.42	3.9958
0.43	0.93164
0.44	4.2328
0.45	11.796
0.46	6.3772
0.47	8.4032
0.48	-1
0.49	-1
0.5	-1
0.51	0.031889
0.52	-1
0.53	1.5281
0.54	9.2819
0.55	4.7533
0.56	1.0808
0.57	2.4464
0.58	-1
0.59	-1
0.6	-1
0.61	4.1398
0.62	0.97224
0.63	2.0618
0.64	-1
0.65	-0.029963
0.66	-0.078485
0.67	1.4374
0.68	-1
0.69	-1
0.7	-1
0.71	-0.31208
0.72	0.33822
0.73	0.058881
0.74	-0.16652
0.75	-1
0.76	-1
0.77	-1
0.78	-1
0.79	-1
0.8	-1
0.81	0.74693
0.82	-1
0.83	-1
0.84	-1
0.85	-1
0.86	-1
0.87	-1
0.88	-1
0.89	-1
0.9	-0.72105
0.91	-1
0.92	-1
0.93	-1
0.94	-1
0.95	-1
0.96	-1
0.97	-1
0.98	-1
0.99	-1
1	-1
1.01	-1
1.02	-1
1.03	-1
1.04	-1
1.05	-1
1.06	-1
1.07	-1
1.08	-1
1.09	-1
1.1	-1
1.11	-1
1.12	-1
1.13	-1
1.14	-1
1.15	-1
1.16	-1
1.17	-1
1.18	-1
1.19	-1
1.2	-1
1.21	-1
1.22	-1
1.23	-1
1.24	-1
1.25	-1
1.26	-1
1.27	-1
1.28	-1
1.29	-1
1.3	-1
1.31	-1
1.32	-1
1.33	-1
1.34	-1
1.35	-1
1.36	-1
1.37	-1
1.38	-1
1.39	-1
1.4	-1
1.41	-1
1.42	-1
1.43	-1
1.44	-1
1.45	-1
1.46	-1
1.47	-1
1.48	-1
1.49	-1
1.5	-1
1.51	-1
1.52	-1
1.53	-1
1.54	-1
1.55	-1
1.56	-1
1.57	-1
1.58	-1
1.59	-1
1.6	-1
1.61	-1
1.62	-1
1.63	-1
1.64	-1
1.65	-1
1.66	-1
1.67	-1
1.68	-1
1.69	-1
1.7	-1
1.71	-1
1.72	-1
1.73	-1
1.74	-1
1.75	-1
1.76	-1
1.77	-1
1.78	-1
1.79	-1
1.8	-1
1.81	-1
1.82	-1
1.83	-1
1.84	-1
1.85	-1
1.86	-1
1.87	-1
1.88	-1
1.89	-1
